Siti Salleh 11111 BACDACBDABBACADCCBACABCDA
Nuraini Ismail 11122 BDABBACADCCBACABCDABACDAC
Muhammad Hazim 11133 DCCBACABACDACBDABBACABCDA
Hafiz Hashim 11144 BACDCADCCBACABCDAACBDABBA
Abu Labi 11155 BDCCBACABCDACDACBDABBACAA
Ali Labu 11155 ABBACADCCBACABCDABACDACBD
Lanun Loki 11177 BACCBACABCDACBDABBACADCDA
Situ Kamal 11188 BBBACADCCBACABCDAACDACBDA
Kamsiah Kamil 11199 BACBBACADCCBACADACBDABCDA
Kamal Kamun 11200 BACADCCBACABCDACDACBDABBA
Danil Hakim 11211 BACDACBDCABCDAABBACADCCBA
Din Hukum 11222 BACDACCBACABCDACBDABBACAD
Zul Hans 11233 ACADCCBACABBACDACBDABBCDA
Reel Kamarul 11244 BACADCCBACABCDADACBDABBAC
Wan Sunnie 11255 BDABBACADCCBACBACDACABCDA
Ahmad Syafiq 11266 BACDACBDABBACADAABACABCDA
Kek Kim 11277 BACBACADCCBACDACBDABABCDA
Naruti Kam 11288 BACBBACADCCBADACBDACABCDA
Naruto Kon 11299 BBBACADCCBACABCDAACDACBDA
Sakeki Kek 11300 BACDACBDABACABCDABBACADCC
Sasuke Kok 11311 BDABBACADCCBBACDACACABCDA
Dol Lol 11322 BACBACADCCBACABCDDACBDABA
Ani Maeil 11333 BADABBACADCCDACBCBACABCDA
Nina Ismail 11344 BACDACCADCCBACABBDABBACDA
Nurul Ibrahim 11355 BACDACACABCDABDABBACADCCB
